Title	Endonym	Status	Language	"Script (ISO
15924 code)"	"WP
code"	Language Code (if not Wikipedia Code)	Recovered language name	Articles	"Active
users"	Launch date	Launch Date	URL
Iñupiaq Wikipedia	Uiqipitia Iñupiatun	Active	Iñupiaq	Latn	ik		Inupiaq	600	19	Unknown date		ik.wikipedia.org
Adyghe Wikipedia	"Адыгэ Википедие
(Adıgə Vikipedie)"	Active	Adyghe	Cyrl	ady		Adyghe	575	16	11 February 2016		ady.wikipedia.org
Chamorro Wikipedia	Wikipedia Chamoru	Active	Chamorro	Latn	ch		Chamorro	558	12	Unknown date		ch.wikipedia.org
Pontic Wikipedia	"Ποντιακόν Βικιπαίδεια
(Pontiakón Bikipaídeia)"	Active	Pontic Greek	Grek	pnt		Pontic	490	12	5 March 2009		pnt.wikipedia.org
Nupe Wikipedia	Wikipedia Nya Nupe	Active	Nupe	Latn	nup		Nupe-Nupe-Tako	432	13	Unknown date		nup.wikipedia.org
Obolo Wikipedia	Wìkìpedia Usem Obolo	Active	Obolo	Latn	ann		Obolo	429	7	14 October 2024		ann.wikipedia.org
Inuktitut Wikipedia	"ᐃᓄᒃᑎᑐᑦ ᐊᕆᐅᙵᐃᐹ
(Uikipitia inuktitut)"	Active	Inuktitut	Cans	iu		Inuktitut	428	27	Unknown date		iu.wikipedia.org
Paiwan Wikipedia	wikipidiya nua pinayuanan	Active	Paiwan	Latn	pwn		Paiwan	373	8	28 October 2021		pwn.wikipedia.org
Sango Wikipedia	Wïkïpêdïyäa na Sängö	Active	Sango	Latn	sg		Sango	356	11	Unknown date		sg.wikipedia.org
Tai Nuea Wikipedia	ᥝᥤᥱ ᥑᥤᥱ ᥚᥤᥱ ᥖᥤᥱ ᥕᥣᥱ ᥖᥭᥰ ᥖᥬᥲ ᥑᥨᥒᥰ	Active	Tai Nuea	Tale	tdd		Tai Nüa	339	5	14 October 2024		tdd.wikipedia.org
Tigrinya Wikipedia	"ዊኪፐድያ ብትግርኛ
(Wikipädya bətəgrəñña)"	Active	Tigrinya	Ethi	ti		Tigrinya	338	16	Unknown date		ti.wikipedia.org
Dinka Wikipedia	Wikipedia Thuɔŋjäŋ	Active	Dinka	Latn	din		Dinka	338	12	12 July 2017		din.wikipedia.org
Dzongkha Wikipedia	"རྫོང་ཁ་ཝེ་ཁེ་རིག་མཛོད
(Rdzong kha we khe rig mdzod)"	Active	Dzongkha	Tibt	dz		Dzongkha	323	23	Unknown date		dz.wikipedia.org
Greenlandic Wikipedia	Kalaallisut Wikipedia	Active	Greenlandic	Latn	kl		Kalaallisut	245	14	Unknown date		kl.wikipedia.org
Bajau Sama Wikipedia	Wikipidia Bajau Sama	Active	West Coast Bajau	Latn	bdr		West Coast Bajau	236	13	6 August 2024		bdr.wikipedia.org
Southern Ndebele Wikipedia	Wikiphidiya yelimi lesiNdebele	Active	Southern Ndebele	Latn	nr		South Ndebele	212	34	14 October 2024		nr.wikipedia.org
Tigre Wikipedia	ዊኪፒድያ ህግየ ትግሬ	Active	Tigre	Ethi	tig		Tigre	39	8	12 December 2024		tig.wikipedia.org
Cree Wikipedia	"ᐎᑭᐱᑎᔭ ᓀᐦᐃᔭᐍᐏᐣ
(Wikipitiya nēhiyawēwin)"	Active	Cree	Cans	cr		Cree	13	21	August 2004 (unknown day)		cr.wikipedia.org
Ndonga Wikipedia (closed)		Closed	Ovambo (Ndonga)	Latn	ng	ng	Ndonga	8	2	Unknown date – 10 January 2010		ng.wikipedia.org
Choctaw Wikipedia (closed)		Closed	Choctaw	Latn	cho	cho	Choctaw	6	1	Unknown date – 3 July 2007		cho.wikipedia.org
Kwanyama Wikipedia (closed)		Closed	Ovambo (Kwanyama)	Latn	kj	kj	Kuanyama	4	1	Unknown date – 10 July 2007		kj.wikipedia.org
Marshallese Wikipedia (closed)		Closed	Marshallese	Latn	mh	mh	Marshallese	4	1	Unknown date – 4 May 2008		mh.wikipedia.org
Sichuan Yi Wikipedia (closed)		Closed	Nuosu	Yiii	ii	ii	Sichuan Yi	3	2	Unknown date – 29 July 2007		ii.wikipedia.org
Hiri Motu Wikipedia (closed)		Closed	Hiri Motu	Latn	ho	ho	Hiri Motu	3	1	Unknown date – 9 July 2007		ho.wikipedia.org
Northern Luri Wikipedia (locked)		Closed	"Northern Luri"	Arab	lrc	lrc	Northern Luri	1	2	16 June 2015 – 14 January 2021		lrc.wikipedia.org
Muscogee Wikipedia (closed)		Closed	Muscogee	Latn	mus	mus	Creek	1	1	Unknown date – 10 July 2007		mus.wikipedia.org
Akan Wikipedia (closed)	Wikipidia Akan	Closed	Akan	Latn	ak (closed)	ak	Akan	0	11	Unknown date – 1 April 2023		ak (closed).wikipedia.org
Norfuk Wikipedia (locked)	Norfuk Wikkapedya	Closed	"Norfuk"	Latn	pih		Pitcairn-Norfolk	0	9	Unknown date – 19 March 2025		pih.wikipedia.org
Nauruan Wikipedia (locked)	Wikipediya Naoero	Closed	"Nauruan"	Latn	na		Nauru	0	8	Unknown date – 1 May 2023		na.wikipedia.org
Afar Wikipedia (closed)		Closed	Afar	Latn	aa	aa	Afar	0	3	Unknown date – 10 May 2008		aa.wikipedia.org
Herero Wikipedia (closed)		Closed	Herero	Latn	hz	hz	Herero	0	1	Unknown date – 24 July 2007		hz.wikipedia.org
Kanuri Wikipedia (closed)		Closed	Kanuri	Latn	kr	kr	Kanuri	0	1	Unknown date – 3 May 2007		kr.wikipedia.org
Wikipedia 10 (closed)	Wikipedia 10	Closed	English	Latn	ten	mis	Tama (Colombia)	0	0	Unknown date of either launch or closure		ten.wikipedia.org
Klingon Wikipedia (deleted)		Deleted	Klingon	Latn	tlh	tlh	Klingon	0	0	"June 2004 (unknown day) –
Unknown date of closure,
August 2005 (deletion; unknown day)"		tlh.wikipedia.org
Moldovan Wikipedia (deleted)		Deleted	Romanian (Moldovan)	Cyrl	mo	ro-md		0	0	"Unknown date –
21 November 2006 (closure),
23 November 2017 (deletion)"		mo.wikipedia.org
September 11 Wiki (deleted)	September 11 Wiki	Deleted	English	Latn	sep11	mis	Uncoded languages	0	0	"2001 (unknown date) –
2006 (made read-only; unknown date),
2008 (closure; unknown date)"		sep11.wikipedia.org
Siberian Wikipedia (deleted)		Deleted	fictitious "artificial Siberian language"	Cyrl	ru-sib	mis	Uncoded languages	0	0	"1 October 2006 –
19 September 2007 (closure),
16 October 2007 (deletion)"		ru-sib.wikipedia.org
Toki Pona Wikipedia (deleted)		Deleted	Toki Pona	Latn	tokipona	tok	Toki Pona	0	0	"4 April 2004 – 2008 (closure; unknown date),
24 March 2009 (deletion)"		tokipona.wikipedia.org
Test Wikipedia	Test Wikipedia	Closed	English	Latn	test	mis	Uncoded languages	0	0	Unknown date		test.wikipedia.org
Test2 Wikipedia	Test2 Wikipedia	Closed	English	Latn	test2	mis	Uncoded languages	0	0	Unknown date		test2.wikipedia.org
Nostalgia Wikipedia	Nostalgia Wikipedia	Closed	English	Latn	nostalgia			0	0	Unknown date		nostalgia.wikipedia.org
Wikipedia Afar	Qafár af	Incubator			aa		Afar					https://incubator.wikimedia.org/wiki/Wp/aa
Wikipedia Arbëresh	Arbërisht	Incubator			aae		Arbëreshë Albanian					https://incubator.wikimedia.org/wiki/Wp/aae
Wikipedia Bono	Bron	Incubator			abr		Abron					https://incubator.wikimedia.org/wiki/Wp/abr
Wikipedia Saint Lucian Creole	Kwéyòl	Incubator			acf		Saint Lucian Creole French					https://incubator.wikimedia.org/wiki/Wp/acf
Wikipedia Acholi	Acoli	Incubator			ach		Acoli					https://incubator.wikimedia.org/wiki/Wp/ach
Wikipedia Mesopotamian Arabic	اللهجة العراقية	Incubator			acm		Mesopotamian Arabic					https://incubator.wikimedia.org/wiki/Wp/acm
Wikipedia Adangme	Dangbe	Incubator			ada		Adangme					https://incubator.wikimedia.org/wiki/Wp/ada
Wikipedia Tunisian Arabic	"تونسي
/ Tounsi"	Incubator			aeb		Tunisian Arabic					https://incubator.wikimedia.org/wiki/Wp/aeb
Wikipedia Gulf Arabic	خليجي	Incubator			afb		Gulf Arabic					https://incubator.wikimedia.org/wiki/Wp/afb
Wikipedia Ahirani	खान्देशी	Incubator			ahr		Ahirani					https://incubator.wikimedia.org/wiki/Wp/ahr
Wikipedia Antiguan and Barbudan Creole	Aanteegan an' Baabyuudan	Incubator			aig		Antigua and Barbuda Creole English					https://incubator.wikimedia.org/wiki/Wp/aig
Wikipedia Assyrian Neo-Aramaic	ܣܘܪܝܬ	Incubator			aii		Assyrian Neo-Aramaic					https://incubator.wikimedia.org/wiki/Wp/aii
Wikipedia Ainu	アイヌ・イタㇰ / Aynu itak	Incubator			ain		Ainu (Japan)					https://incubator.wikimedia.org/wiki/Wp/ain
Wikipedia Adja	Adja	Incubator			ajg		Aja (Benin)					https://incubator.wikimedia.org/wiki/Wp/ajg
Wikipedia Judeo-Moroccan Arabic	מרוקאית יהודית	Incubator			aju		Judeo-Moroccan Arabic					https://incubator.wikimedia.org/wiki/Wp/aju
Wikipedia Akpa	Akweya	Incubator			akf		Akpa					https://incubator.wikimedia.org/wiki/Wp/akf
Wikipedia Anakalangu	akg	Incubator			akg		Anakalangu					https://incubator.wikimedia.org/wiki/Wp/akg
Wikipedia Aklanon	Akeanon	Incubator			akl		Aklanon					https://incubator.wikimedia.org/wiki/Wp/akl
Wikipedia Araki	Soro-n Raki	Incubator			akr		Araki					https://incubator.wikimedia.org/wiki/Wp/akr
Wikipedia Alabama	Albaamo innaaɬiilka	Incubator			akz		Alabama					https://incubator.wikimedia.org/wiki/Wp/akz
Wikipedia Aleut	Уна́ӈам тунуу́	Incubator			ale		Aleut					https://incubator.wikimedia.org/wiki/Wp/ale
Wikipedia Gheg Albanian	Gegnisht	Incubator			aln		Gheg Albanian					https://incubator.wikimedia.org/wiki/Wp/aln
Wikipedia Guerrero Amuzgo	Ñomndaa	Incubator			amu		Guerrero Amuzgo					https://incubator.wikimedia.org/wiki/Wp/amu
Wikipedia Obolo	Andoni	Incubator			ann		Obolo					https://incubator.wikimedia.org/wiki/Wp/ann
Wikipedia Pemon	Arecuna	Incubator			aoc		Pemon					https://incubator.wikimedia.org/wiki/Wp/aoc
Wikipedia Levantine Arabic	الـلَّـهْـجَـةُ الـشَّـامِـيَّـة	Incubator			apc		Levantine Arabic					https://incubator.wikimedia.org/wiki/Wp/apc
Wikipedia Western Apache	Ndee biyátiʼ	Incubator			apw		Western Apache					https://incubator.wikimedia.org/wiki/Wp/apw
Wikipedia Mapudungun	Mapudungun	Incubator			arn		Mapudungun					https://incubator.wikimedia.org/wiki/Wp/arn
Wikipedia Araona	Orqnchi'a Aqoana	Incubator			aro		Araona					https://incubator.wikimedia.org/wiki/Wp/aro
Wikipedia Algerian Arabic	جازايريه	Incubator			arq		Algerian Arabic					https://incubator.wikimedia.org/wiki/Wp/arq
Wikipedia Najdi Arabic	اللهجة النجدية	Incubator			ars		Najdi Arabic					https://incubator.wikimedia.org/wiki/Wp/ars
Wikipedia American Sign	American sign language	Incubator			ase		American Sign Language					https://incubator.wikimedia.org/wiki/Wp/ase
Wikipedia Libyan Arabic	ليبي	Incubator			ayl		Libyan Arabic					https://incubator.wikimedia.org/wiki/Wp/ayl
Wikipedia Balochi	بلوچی	Incubator			bal		Baluchi					https://incubator.wikimedia.org/wiki/Wp/bal
Wikipedia Bamum	ꚶꛉ꛰꛲ꚫꛦꚳ	Incubator			bax		Bamun					https://incubator.wikimedia.org/wiki/Wp/bax
Wikipedia Ghomala'	Ghɔmálá’	Incubator			bbj		Ghomálá'					https://incubator.wikimedia.org/wiki/Wp/bbj
Wikipedia Central Bai	Bairt ngvrt zix	Incubator			bca		Central Bai					https://incubator.wikimedia.org/wiki/Wp/bca
Wikipedia Southern Baluchi	جهلسری بلوچی	Incubator			bcc		Southern Balochi					https://incubator.wikimedia.org/wiki/Wp/bcc
Wikipedia Baoulé	Baoulé	Incubator			bci		Baoulé					https://incubator.wikimedia.org/wiki/Wp/bci
Wikipedia Bemba	Chibemba	Incubator			bem		Bemba (Zambia)					https://incubator.wikimedia.org/wiki/Wp/bem
Wikipedia Bari	Karo	Incubator			bfa		Bari					https://incubator.wikimedia.org/wiki/Wp/bfa
Wikipedia Badaga	படக பாஷை	Incubator			bfq		Badaga					https://incubator.wikimedia.org/wiki/Wp/bfq
Wikipedia Haryanvi	हरियाणवी /ہریاݨوی	Incubator			bgc		Haryanvi					https://incubator.wikimedia.org/wiki/Wp/bgc
Wikipedia Western Baluchi	روچ کپتین بلوچی	Incubator			bgn		Western Balochi					https://incubator.wikimedia.org/wiki/Wp/bgn
Wikipedia Eastern Balochi	Balòci	Incubator			bgp		Eastern Balochi					https://incubator.wikimedia.org/wiki/Wp/bgp
Wikipedia Balkan Gagauz Turkish	Rumeli	Incubator			bgx		Balkan Gagauz Turkish					https://incubator.wikimedia.org/wiki/Wp/bgx
Wikipedia Banggai	Banggai	Incubator			bgz		Banggai					https://incubator.wikimedia.org/wiki/Wp/bgz
Wikipedia Bhili	भीली	Incubator			bhb		Bhili					https://incubator.wikimedia.org/wiki/Wp/bhb
Wikipedia Bukhori	Bukhori	Incubator			bhh		Bukharic					https://incubator.wikimedia.org/wiki/Wp/bhh
Wikipedia Bhilali	भीलाली	Incubator			bhi		Bhilali					https://incubator.wikimedia.org/wiki/Wp/bhi
Wikipedia Bima	Nggahi Mbojo	Incubator			bhp		Bima					https://incubator.wikimedia.org/wiki/Wp/bhp
Wikipedia Edo	Ẹ̀dó	Incubator			bin		Bini					https://incubator.wikimedia.org/wiki/Wp/bin
Wikipedia Kom	Itaŋikom	Incubator			bkm		Kom (Cameroon)					https://incubator.wikimedia.org/wiki/Wp/bkm
Wikipedia Bunun	Bunun	Incubator			bnn		Bunun					https://incubator.wikimedia.org/wiki/Wp/bnn
Wikipedia Asi	Bantoanon	Incubator			bno		Bantoanon					https://incubator.wikimedia.org/wiki/Wp/bno
Wikipedia Bole	bòo pìkkà	Incubator			bol		Bole					https://incubator.wikimedia.org/wiki/Wp/bol
Wikipedia Botlikh	Буйхалъи мицIцIи	Incubator			bph		Botlikh					https://incubator.wikimedia.org/wiki/Wp/bph
Wikipedia Bakhtiari	بختیاری	Incubator			bqi		Bakhtiari					https://incubator.wikimedia.org/wiki/Wp/bqi
Wikipedia Braj	ब्रज / ब्रजभाषा	Incubator			bra		Braj					https://incubator.wikimedia.org/wiki/Wp/bra
Wikipedia Brahui	Bráhuí /براوی	Incubator			brh		Brahui					https://incubator.wikimedia.org/wiki/Wp/brh
Wikipedia Bodo	बर'	Incubator			brx		Bodo (India)					https://incubator.wikimedia.org/wiki/Wp/brx
Wikipedia Kata-vari	Kâta-vari	Incubator			bsh		Kati					https://incubator.wikimedia.org/wiki/Wp/bsh
Wikipedia Biatah	bth	Incubator			bth		Biatah Bidayuh					https://incubator.wikimedia.org/wiki/Wp/bth
Wikipedia Rinconada	Iriga Bicolano	Incubator			bto		Rinconada Bikol					https://incubator.wikimedia.org/wiki/Wp/bto
Wikipedia Batak Simalungun	Sahap Simalungun	Incubator			bts		Batak Simalungun					https://incubator.wikimedia.org/wiki/Wp/bts
Wikipedia Batak Karo	Cakap Karo	Incubator			btx		Batak Karo					https://incubator.wikimedia.org/wiki/Wp/btx
Wikipedia Alas	Batak Alas	Incubator			btz		Batak Alas-Kluet					https://incubator.wikimedia.org/wiki/Wp/btz
Wikipedia Bura	Bura-Pabir	Incubator			bwr		Bura-Pabir					https://incubator.wikimedia.org/wiki/Wp/bwr
Wikipedia Belizean Creole	Kriol	Incubator			bzj		Belize Kriol English					https://incubator.wikimedia.org/wiki/Wp/bzj
Wikipedia Kaqchikel	Kaqchikel Ch'ab'äl	Incubator			cak		Kaqchikel					https://incubator.wikimedia.org/wiki/Wp/cak
Wikipedia Chakma	𑄌𑄋𑄴𑄟𑄳𑄦 𑄞𑄌𑄴	Incubator			ccp		Chakma					https://incubator.wikimedia.org/wiki/Wp/ccp
Wikipedia Chibcha	Muysccubun	Incubator			chb		Chibcha					https://incubator.wikimedia.org/wiki/Wp/chb
Wikipedia Chinook Jargon	chinuk-wawa	Incubator			chn		Chinook jargon					https://incubator.wikimedia.org/wiki/Wp/chn
Wikipedia Choctaw	Choctaw	Incubator			cho		Choctaw					https://incubator.wikimedia.org/wiki/Wp/cho
Wikipedia Cia-Cia	바하사 찌아찌아	Incubator			cia		Cia-Cia					https://incubator.wikimedia.org/wiki/Wp/cia
Wikipedia Southwestern Ojibwe	Ojibwemowin, Anishinaabemowin	Incubator			ciw		Chippewa					https://incubator.wikimedia.org/wiki/Wp/ciw
Wikipedia Eastern Cham	bạhsa Cam	Incubator			cjm		Eastern Cham					https://incubator.wikimedia.org/wiki/Wp/cjm
Wikipedia Shor	Шор тили	Incubator			cjs		Shor					https://incubator.wikimedia.org/wiki/Wp/cjs
Wikipedia Jin Chinese	晉語 / 晋语	Incubator			cjy		Jinyu Chinese					https://incubator.wikimedia.org/wiki/Wp/cjy
Wikipedia Anufo	Anufɔ	Incubator			cko		Anufo					https://incubator.wikimedia.org/wiki/Wp/cko
Wikipedia Chukchi	Ԓыгъоравэтԓьэн йиԓыйиԓ	Incubator			ckt		Chukot					https://incubator.wikimedia.org/wiki/Wp/ckt
Wikipedia Kavalan	Kbaran	Incubator			ckv		Kavalan					https://incubator.wikimedia.org/wiki/Wp/ckv
Wikipedia Klallam	nəxʷsƛ̕ay̕əmúcən	Incubator			clm		Clallam					https://incubator.wikimedia.org/wiki/Wp/clm
Wikipedia Chulym	Ось тили	Incubator			clw		Chulym					https://incubator.wikimedia.org/wiki/Wp/clw
Wikipedia Northern Qiang	Rrmearr	Incubator			cng		Northern Qiang					https://incubator.wikimedia.org/wiki/Wp/cng
Wikipedia Asháninka	Asháninka	Incubator			cni		Asháninka					https://incubator.wikimedia.org/wiki/Wp/cni
Wikipedia Montenegrin	Crnogorski	Incubator			cnr		Montenegrin					https://incubator.wikimedia.org/wiki/Wp/cnr
Wikipedia Shenwa	Haqbaylit̠	Incubator			cnu		Chenoua					https://incubator.wikimedia.org/wiki/Wp/cnu
Wikipedia Coptic	ⲘⲉⲧⲢⲉⲙ̀ⲛⲭⲏⲙⲓ / Μετ Ρεμενκημι	Incubator			cop		Coptic					https://incubator.wikimedia.org/wiki/Wp/cop
Wikipedia Chinese Pidgin English	Yangjing Bang English / 白鴿英語	Incubator			cpi		Chinese Pidgin English					https://incubator.wikimedia.org/wiki/Wp/cpi
Wikipedia Capiznon	Capiceño	Incubator			cps		Capiznon					https://incubator.wikimedia.org/wiki/Wp/cps
Wikipedia Pu-Xian Min	Pó-sing-gṳ̂ / 莆仙語	Incubator			cpx		Pu-Xian Chinese					https://incubator.wikimedia.org/wiki/Wp/cpx
Wikipedia Plains Cree	nēhiyawēwin	Incubator			crk		Plains Cree					https://incubator.wikimedia.org/wiki/Wp/crk
Wikipedia Seychellois Creole	kreol	Incubator			crs		Seselwa Creole French					https://incubator.wikimedia.org/wiki/Wp/crs
Wikipedia Colombian Sign	Lengua de Señas Colombiana	Incubator			csn		Colombian Sign Language					https://incubator.wikimedia.org/wiki/Wp/csn
Wikipedia Southern Pinghua	桂南平話	Incubator			csp		Southern Ping Chinese					https://incubator.wikimedia.org/wiki/Wp/csp
Wikipedia Chittagonian	চাটগাঁইয়া	Incubator			ctg		Chittagonian					https://incubator.wikimedia.org/wiki/Wp/ctg
Wikipedia Huizhou Chinese	徽語	Incubator			czh		Huizhou Chinese					https://incubator.wikimedia.org/wiki/Wp/czh
Wikipedia Min Zhong	閩中語	Incubator			czo		Min Zhong Chinese					https://incubator.wikimedia.org/wiki/Wp/czo
Wikipedia Dargwa	Дарган	Incubator			dar		Dargwa					https://incubator.wikimedia.org/wiki/Wp/dar
Wikipedia Dendi	Dendi cinɛ	Incubator			ddn		Dendi (Benin)					https://incubator.wikimedia.org/wiki/Wp/ddn
Wikipedia Tsez	цезйас мец	Incubator			ddo		Dido					https://incubator.wikimedia.org/wiki/Wp/ddo
Wikipedia Dogri	डोगरी	Incubator			dgo		Dogri (individual language)					https://incubator.wikimedia.org/wiki/Wp/dgo
Wikipedia Dimasa	Grao-Dima	Incubator			dis		Dimasa					https://incubator.wikimedia.org/wiki/Wp/dis
Wikipedia Zarma	Zarma ciine	Incubator			dje		Zarma					https://incubator.wikimedia.org/wiki/Wp/dje
Wikipedia Dolgan	Долган тыла	Incubator			dlg		Dolgan					https://incubator.wikimedia.org/wiki/Wp/dlg
