From https://documentation.abes.fr/guide/html/formats/CodesLanguesISO639-3.htm		
Code	Nom en français	Display Name French
fas	persan	Persan
fat	fanti	Fanti
fau	fayu	Fayu
fax	fala	Fala
fay	southwestern fars	Southwestern Fars
faz	northwestern fars	Northwestern Fars
fbl	west albay bikol	West Albay Bikol
fcs	quebec sign language	Quebec Sign Language
fer	feroge	Feroge
ffi	foia foia	Foia Foia
ffm	maasina fulfulde	Maasina Fulfulde
fgr	fongoro	Fongoro
fia	nobiin	Nobiin
fie	fyer	Fyer
fif	faifi	Faifi
fij	fidjien	Fidjien
fil	filipino ; pilipino	Filipino ; Pilipino
fin	finnois	Finnois
fip	fipa	Fipa
fir	firan	Firan
fit	tornedalen finnish	Tornedalen Finnish
fiu	finno-ougriennes, langues	Finno-Ougriennes, Langues
fiw	fiwaga	Fiwaga
fkk	kirya-konzel	Kirya-Konzel
fkv	kven finnish	Kven Finnish
fla	kalispel-pend d'oreille	Kalispel-Pend D'Oreille
flh	foau	Foau
fli	fali	Fali
fll	north fali	North Fali
fln	flinders island	Flinders Island
flr	fuliiru	Fuliiru
fly	flaaitaal	Flaaitaal
fmp	fe'fe'	Fe'Fe'
fmu	far western muria	Far Western Muria
fnb	fanbak	Fanbak
fng	fanagalo	Fanagalo
fni	fania	Fania
fod	foodo	Foodo
foi	foi	Foi
fom	foma	Foma
fon	fon	Fon
for	fore	Fore
fos	siraya	Siraya
fpe	fernando po creole english	Fernando Po Creole English
fqs	fas	Fas
fra	français	Français
frc	cajun french	Cajun French
frd	fordata	Fordata
frk	frankish	Frankish
frm	français moyen (1400-1600)	Français Moyen (1400-1600)
fro	français ancien (842-ca. 1400)	Français Ancien (842-Ca. 1400)
frp	francoprovençal [arpitan]	Francoprovençal [Arpitan]
frq	forak	Forak
frr	frison septentrional	Frison Septentrional
frr	northern frisian	Northern Frisian
frs	frison oriental	Frison Oriental
frs	eastern frisian	Eastern Frisian
frt	fortsenal	Fortsenal
fry	frison occidental	Frison Occidental
fse	finnish sign language	Finnish Sign Language
fsl	langue des signes française	Langue Des Signes Française
fss	finland-swedish sign language	Finland-Swedish Sign Language
fub	adamawa fulfulde	Adamawa Fulfulde
fuc	pulaar	Pulaar
fud	futunien	Futunien
fue	borgu fulfulde	Borgu Fulfulde
fuf	pular	Pular
fuh	western niger fulfulde	Western Niger Fulfulde
fui	bagirmi fulfulde	Bagirmi Fulfulde
fuj	ko	Ko
ful	peul	Peul
fum	fum	Fum
fun	fulniô	Fulniô
fuq	central-eastern niger fulfulde	Central-Eastern Niger Fulfulde
fur	frioulan	Frioulan
fut	futuna-aniwa	Futuna-Aniwa
fuu	furu	Furu
fuv	nigerian fulfulde	Nigerian Fulfulde
fuy	fuyug	Fuyug
fvr	fur	Fur
fwa	fwài	Fwài
fwe	fwe	Fwe
gaa	ga	Ga
gab	gabri	Gabri
gac	mixed great andamanese	Mixed Great Andamanese
gad	gaddang	Gaddang
gae	guarequena	Guarequena
gaf	gende	Gende
gag	gagauz	Gagauz
gah	alekano	Alekano
gai	borei	Borei
gaj	gadsup	Gadsup
gak	gamkonora	Gamkonora
gal	galolen	Galolen
gam	kandawo	Kandawo
gan	gan chinese	Gan Chinese
gao	gants	Gants
gap	gal	Gal
gaq	gata'	Gata'
gar	galeya	Galeya
gas	adiwasi garasia	Adiwasi Garasia
gat	kenati	Kenati
gau	mudhili gadaba	Mudhili Gadaba
gaw	nobonob	Nobonob
gax	borana-arsi-guji oromo	Borana-Arsi-Guji Oromo
gay	gayo	Gayo
gaz	west central oromo	West Central Oromo
gba	gbaya	Gbaya
gbb	kaytetye	Kaytetye
gbd	karajarri	Karajarri
gbe	niksek	Niksek
gbf	gaikundi	Gaikundi
gbg	gbanziri	Gbanziri
gbh	defi gbe	Defi Gbe
gbi	galela	Galela
gbj	bodo gadaba	Bodo Gadaba
gbk	gaddi	Gaddi
gbl	gamit	Gamit
gbm	garhwali	Garhwali
gbn	mo'da	Mo'Da
gbo	northern grebo	Northern Grebo
gbp	gbaya-bossangoa	Gbaya-Bossangoa
gbq	gbaya-bozoum	Gbaya-Bozoum
gbr	gbagyi	Gbagyi
gbs	gbesi gbe	Gbesi Gbe
gbu	gagadu	Gagadu
gbv	gbanu	Gbanu
gbw	gabi-gabi	Gabi-Gabi
gbx	eastern xwla gbe	Eastern Xwla Gbe
gby	gbari	Gbari
gbz	zoroastrian dari	Zoroastrian Dari
gcc	mali	Mali
gcd	ganggalida	Ganggalida
gce	galice	Galice
gcf	créole guadeloupéen	Créole Guadeloupéen
gcl	grenadian creole english	Grenadian Creole English
gcn	gaina	Gaina
gcr	créole guyanais	Créole Guyanais
gct	colonia tovar german	Colonia Tovar German
gda	gade lohar	Gade Lohar
gdb	pottangi ollar gadaba	Pottangi Ollar Gadaba
gdc	gugu badhun	Gugu Badhun
gdd	gedaged	Gedaged
gde	gude	Gude
gdf	guduf-gava	Guduf-Gava
gdg	ga'dang	Ga'Dang
gdh	gadjerawang	Gadjerawang
gdi	gundi	Gundi
gdj	gurdjar	Gurdjar
gdk	gadang	Gadang
gdl	dirasha	Dirasha
gdm	laal	Laal
gdn	umanakaina	Umanakaina
gdo	ghodoberi	Ghodoberi
gdq	mehri	Mehri
gdr	wipi	Wipi
gds	ghandruk sign language	Ghandruk Sign Language
gdt	kungardutyi	Kungardutyi
gdu	gudu	Gudu
gdx	godwari	Godwari
gea	geruma	Geruma
geb	kire	Kire
gec	gboloo grebo	Gboloo Grebo
ged	gade	Gade
gef	gerai	Gerai
geg	gengle	Gengle
geh	hutterite german	Hutterite German
gei	gebe	Gebe
gej	gen	Gen
gek	ywom	Ywom
gel	ut-ma'in	Ut-Ma'In
gem	germaniques, langues	Germaniques, Langues
geq	geme	Geme
ges	geser-gorom	Geser-Gorom
gev	eviya	Eviya
gew	gera	Gera
gex	garre	Garre
gey	enya	Enya
gez	guèze	Guèze
gfk	patpatar	Patpatar
gft	gafat	Gafat
gga	gao	Gao
ggb	gbii	Gbii
ggd	gugadj	Gugadj
gge	gurr-goni	Gurr-Goni
ggg	gurgula	Gurgula
ggk	kungarakany	Kungarakany
ggl	ganglau	Ganglau
ggt	gitua	Gitua
ggu	gagu	Gagu
ggw	gogodala	Gogodala
gha	ghadamčs	Ghadamčs
ghc	hiberno-scottish gaelic	Hiberno-Scottish Gaelic
ghe	southern ghale	Southern Ghale
ghh	northern ghale	Northern Ghale
ghk	geko karen	Geko Karen
ghl	ghulfan	Ghulfan
ghn	ghanongga	Ghanongga
gho	ghomara	Ghomara
ghr	ghera	Ghera
ghs	guhu-samane	Guhu-Samane
ght	kuke	Kuke
gia	kija	Kija
gib	gibanawa	Gibanawa
gic	gail	Gail
gid	gidar	Gidar
gie	gabogbo	Gabogbo
gig	goaria	Goaria
gih	githabul	Githabul
gii	girirra	Girirra
gil	kiribati	Kiribati
gim	gimi (eastern highlands)	Gimi (Eastern Highlands)
gin	hinukh	Hinukh
gip	gimi (west new britain)	Gimi (West New Britain)
giq	green gelao	Green Gelao
gir	red gelao	Red Gelao
gis	north giziga	North Giziga
git	gitxsan	Gitxsan
giu	mulao	Mulao
giw	white gelao	White Gelao
gix	gilima	Gilima
giy	giyug	Giyug
giz	south giziga	South Giziga
gjk	kachi koli	Kachi Koli
gjm	gunditjmara	Gunditjmara
gjn	gonja	Gonja
gjr	gurindji kriol	Gurindji Kriol
gju	gujari	Gujari
gka	guya	Guya
gkd	magi (madang province)	Magi (Madang Province)
gke	ndai	Ndai
gkn	gokana	Gokana
gko	kok-nar	Kok-Nar
gkp	guinea kpelle	Guinea Kpelle
gku	ungkue	Ungkue
gla	gaélique ; gaélique écossais	Gaélique ; Gaélique Écossais
glb	belning	Belning
glc	bon gula	Bon Gula
gld	nanai	Nanai
gle	irlandais	Irlandais
glg	galicien	Galicien
glh	northwest pashai	Northwest Pashai
glj	gula iro	Gula Iro
glk	gilaki	Gilaki
gll	garlali	Garlali
glo	galambu	Galambu
glr	glaro-twabo	Glaro-Twabo
glu	gula (chad)	Gula (Chad)
glv	manx ; mannois	Manx ; Mannois
glw	glavda	Glavda
gly	gule	Gule
gma	gambera	Gambera
gmb	gula'alaa	Gula'Alaa
gmd	mághdě	Mághdě
gmg	magiyi	Magiyi
gmh	allemand, moyen haut (ca. 1050-1500)	Allemand, Moyen Haut (Ca. 1050-1500)
gml	middle low german	Middle Low German
gmm	gbaya-mbodomo	Gbaya-Mbodomo
gmn	gimnime	Gimnime
gmr	mirning	Mirning
gmu	gumalu	Gumalu
gmv	gamo	Gamo
gmx	magoma	Magoma
gmy	mycenaean greek	Mycenaean Greek
gmz	mgbolizhia	Mgbolizhia
gna	kaansa	Kaansa
gnb	gangte	Gangte
gnc	guanche	Guanche
gnd	zulgo-gemzek	Zulgo-Gemzek
gne	ganang	Ganang
gng	ngangam	Ngangam
gnh	lere	Lere
gni	gooniyandi	Gooniyandi
gnj	ngen	Ngen
gnl	gangulu	Gangulu
gnm	ginuman	Ginuman
gnn	gumatj	Gumatj
gno	northern gondi	Northern Gondi
gnq	gana	Gana
gnr	gureng gureng	Gureng Gureng
gnt	guntai	Guntai
gnu	gnau	Gnau
gnw	western bolivian guaraní	Western Bolivian Guaraní
gnz	ganzi	Ganzi
goa	guro	Guro
gob	playero	Playero
goc	gorakor	Gorakor
god	godié	Godié
goe	gongduk	Gongduk
gof	gofa	Gofa
gog	gogo	Gogo
goh	allemand, vieux haut (ca. 750-1050)	Allemand, Vieux Haut (Ca. 750-1050)
goi	gobasi	Gobasi
goj	gowlan	Gowlan
gok	gowli	Gowli
gol	gola	Gola
gom	goan konkani	Goan Konkani
gon	gond	Gond
goo	gone dau	Gone Dau
gop	yeretuar	Yeretuar
goq	gorap	Gorap
gor	gorontalo	Gorontalo
gos	gronings	Gronings
got	gothique	Gothique
gou	gavar	Gavar
gov	goo	Goo
gow	gorowa	Gorowa
gox	gobu	Gobu
goy	goundo	Goundo
goz	gozarkhani	Gozarkhani
gpa	gupa-abawa	Gupa-Abawa
gpe	ghanaian pidgin english	Ghanaian Pidgin English
gpn	taiap	Taiap
gqa	ga'anda	Ga'Anda
gqi	guiqiong	Guiqiong
gqn	guana (brazil)	Guana (Brazil)
gqr	gor	Gor
gqu	qau	Qau
gra	rajput garasia	Rajput Garasia
grb	grebo	Grebo
grc	grec ancien (jusqu'à 1453)	Grec Ancien (Jusqu'À 1453)
grd	guruntum-mbaaru	Guruntum-Mbaaru
grg	madi	Madi
grh	gbiri-niragu	Gbiri-Niragu
gri	ghari	Ghari
grj	southern grebo	Southern Grebo
grm	kota marudu talantang	Kota Marudu Talantang
grn	guarani	Guarani
gro	groma	Groma
grq	gorovu	Gorovu
grr	taznatit	Taznatit
grs	gresi	Gresi
grt	garo	Garo
gru	kistane	Kistane
grv	central grebo	Central Grebo
grw	gweda	Gweda
grx	guriaso	Guriaso
gry	barclayville grebo	Barclayville Grebo
grz	guramalum	Guramalum
gsc	gascon	Gascon
gse	ghanaian sign language	Ghanaian Sign Language
gsg	german sign language	German Sign Language
gsl	gusilay	Gusilay
gsm	guatemalan sign language	Guatemalan Sign Language
gsn	nema	Nema
gso	southwest gbaya	Southwest Gbaya
gsp	wasembo	Wasembo
gss	greek sign language	Greek Sign Language
gsw	alémanique ; suisse alémanique ; alsacien	Alémanique ; Suisse Alémanique ; Alsacien
gta	guató	Guató
gtu	aghu-tharnggala	Aghu-Tharnggala
gua	shiki	Shiki
gub	guajajára	Guajajára
guc	wayuu	Wayuu
gud	yocoboué dida	Yocoboué Dida
gue	gurindji	Gurindji
guf	gupapuyngu	Gupapuyngu
gug	paraguayan guaraní	Paraguayan Guaraní
guh	guahibo	Guahibo
gui	eastern bolivian guaraní	Eastern Bolivian Guaraní
guj	goudjrati	Goudjrati
guk	gumuz	Gumuz
gul	sea island creole english	Sea Island Creole English
gum	guambiano	Guambiano
gun	mbyá guaraní	Mbyá Guaraní
guo	guayabero	Guayabero
gup	gunwinggu	Gunwinggu
guq	aché	Aché
gur	farefare	Farefare
gus	guinean sign language	Guinean Sign Language
gut	maléku jaíka	Maléku Jaíka
guu	yanomamö	Yanomamö
guw	gun	Gun
gux	gourmanchéma	Gourmanchéma
guz	gusii	Gusii
gva	guana (paraguay)	Guana (Paraguay)
gvc	guanano	Guanano
gve	duwet	Duwet
gvf	golin	Golin
gvj	guajá	Guajá
gvl	gulay	Gulay
gvm	gurmana	Gurmana
gvn	kuku-yalanji	Kuku-Yalanji
gvo	gaviăo do jiparaná	Gaviăo Do Jiparaná
gvp	pará gaviăo	Pará Gaviăo
gvr	gurung	Gurung
gvs	gumawana	Gumawana
gvy	guyani	Guyani
gwa	mbato	Mbato
gwb	gwa	Gwa
gwc	gawri	Gawri
gwd	gawwada	Gawwada
gwe	gweno	Gweno
gwf	gowro	Gowro
gwg	moo	Moo
gwi	gwich'in	Gwich'In
gwj	gwi	Gwi
gwm	awngthim	Awngthim
gwn	gwandara	Gwandara
gwr	gwere	Gwere
gwt	gawar-bati	Gawar-Bati
gwu	guwamu	Guwamu
gww	kwini	Kwini
gwx	gua	Gua
gxx	wč southern	Wč Southern
gya	northwest gbaya	Northwest Gbaya
gyb	garus	Garus
gyd	kayardild	Kayardild
gye	gyem	Gyem
gyf	gungabula	Gungabula
gyg	gbayi	Gbayi
gyi	gyele	Gyele
gyl	gayil	Gayil
gym	ngäbere	Ngäbere
gyn	guyanese creole english	Guyanese Creole English
gyo	gyalsumdo	Gyalsumdo
gyr	guarayu	Guarayu
gyy	gunya	Gunya
gyz	geji	Geji
gza	ganza	Ganza
gzi	gazi	Gazi
gzn	gane	Gane
haa	han	Han
hab	hanoi sign language	Hanoi Sign Language
hac	gurani	Gurani
had	hatam	Hatam
hae	eastern oromo	Eastern Oromo
haf	haiphong sign language	Haiphong Sign Language
hag	hanga	Hanga
hah	hahon	Hahon
hai	haida	Haida
haj	hajong	Hajong
hak	hakka chinese	Hakka Chinese
hal	halang	Halang
ham	hewa	Hewa
han	hangaza	Hangaza
hao	hakö	Hakö
hap	hupla	Hupla
haq	ha	Ha
har	harari	Harari
has	haisla	Haisla
hat	haïtien; créole haïtien	Haïtien; Créole Haïtien
hau	haoussa	Haoussa
hav	havu	Havu
haw	hawaïen	Hawaïen
hax	southern haida	Southern Haida
hay	haya	Haya
haz	hazaragi	Hazaragi
hba	hamba	Hamba
hbb	huba	Huba
hbn	heiban	Heiban
hbo	ancient hebrew	Ancient Hebrew
hbs	code element for 639-1 has been deprecated	Code Element For 639-1 Has Been Deprecated
hbu	habu	Habu
hca	andaman creole hindi	Andaman Creole Hindi
hch	huichol	Huichol
hdn	northern haida	Northern Haida
hds	honduras sign language	Honduras Sign Language
hdy	hadiyya	Hadiyya
hea	northern qiandong miao	Northern Qiandong Miao
heb	hébreu	Hébreu
hed	herdé	Herdé
heg	helong	Helong
heh	hehe	Hehe
hei	heiltsuk	Heiltsuk
hem	hemba	Hemba
her	herero	Herero
hgm	hai//om	Hai//Om
hgw	haigwai	Haigwai
hhi	hoia hoia	Hoia Hoia
hhr	kerak	Kerak
hhy	hoyahoya	Hoyahoya
hia	lamang	Lamang
hib	hibito	Hibito
hid	hidatsa	Hidatsa
hif	fiji hindi	Fiji Hindi
hig	kamwe	Kamwe
hih	pamosu	Pamosu
hii	hinduri	Hinduri
hij	hijuk	Hijuk
hik	seit-kaitetu	Seit-Kaitetu
hil	hiligaynon	Hiligaynon
him	himachalis, langues ; paharis occidentales, langues	Himachalis, Langues ; Paharis Occidentales, Langues
hin	hindi	Hindi
hio	tsoa	Tsoa
hir	himarimă	Himarimă
hit	hittite	Hittite
hiw	hiw	Hiw
hix	hixkaryána	Hixkaryána
hji	haji	Haji
hka	kahe	Kahe
hke	hunde	Hunde
hkh	khah	Khah
hkk	hunjara-kaina ke	Hunjara-Kaina Ke
hkn	mel-khaonh	Mel-Khaonh
hks	hong kong sign language	Hong Kong Sign Language
hla	halia	Halia
hlb	halbi	Halbi
hld	halang doan	Halang Doan
hle	hlersu	Hlersu
hlt	matu chin	Matu Chin
hlu	hieroglyphic luwian	Hieroglyphic Luwian
hma	southern mashan hmong	Southern Mashan Hmong
hmb	humburi senni songhay	Humburi Senni Songhay
hmc	central huishui hmong	Central Huishui Hmong
hmd	large flowery miao	Large Flowery Miao
hme	eastern huishui hmong	Eastern Huishui Hmong
hmf	hmong don	Hmong Don
hmg	southwestern guiyang hmong	Southwestern Guiyang Hmong
hmh	southwestern huishui hmong	Southwestern Huishui Hmong
hmi	northern huishui hmong	Northern Huishui Hmong
hmj	ge	Ge
hmk	maek	Maek
hml	luopohe hmong	Luopohe Hmong
hmm	central mashan hmong	Central Mashan Hmong
hmn	hmong	Hmong
hmo	hiri motu	Hiri Motu
hmp	northern mashan hmong	Northern Mashan Hmong
hmq	eastern qiandong miao	Eastern Qiandong Miao
hmr	hmar	Hmar
hms	southern qiandong miao	Southern Qiandong Miao
hmt	hamtai	Hamtai
hmu	hamap	Hamap
hmv	hmong dô	Hmong Dô
hmw	western mashan hmong	Western Mashan Hmong
hmy	southern guiyang hmong	Southern Guiyang Hmong
hmz	hmong shua	Hmong Shua
hna	mina (cameroon)	Mina (Cameroon)
hnd	southern hindko	Southern Hindko
hne	chhattisgarhi	Chhattisgarhi
hng	hungu	Hungu
hnh	ani	Ani
hni	hani	Hani
hnj	hmong njua	Hmong Njua
hnn	hanunoo	Hanunoo
hno	northern hindko	Northern Hindko
hns	caribbean hindustani	Caribbean Hindustani
hnu	hung	Hung
hoa	hoava	Hoava
hob	mari (madang province)	Mari (Madang Province)
hoc	ho	Ho
hod	holma	Holma
hoe	horom	Horom
hoh	hobyót	Hobyót
hoi	holikachuk	Holikachuk
hoj	hadothi	Hadothi
hol	holu	Holu
hom	homa	Homa
hoo	holoholo	Holoholo
hop	hopi	Hopi
hor	horo	Horo
hos	ho chi minh city sign language	Ho Chi Minh City Sign Language
hot	hote	Hote
hov	hovongan	Hovongan
how	honi	Honi
hoy	holiya	Holiya
hoz	hozo	Hozo
hpo	hpon	Hpon
hps	hawai'i sign language (hsl)	Hawai'I Sign Language (Hsl)
hra	hrangkhol	Hrangkhol
hrc	niwer mil	Niwer Mil
hre	hre	Hre
hrk	haruku	Haruku
hrm	horned miao	Horned Miao
hro	haroi	Haroi
hrp	nhirrpi	Nhirrpi
hrt	hértevin	Hértevin
hru	hruso	Hruso
hrv	croate	Croate
hrw	warwar feni	Warwar Feni
hrx	hunsrik	Hunsrik
hrz	harzani	Harzani
hsb	haut-sorabe	Haut-Sorabe
hsh	hungarian sign language	Hungarian Sign Language
hsl	hausa sign language	Hausa Sign Language
hsn	xiang chinese	Xiang Chinese
hss	harsusi	Harsusi
hti	hoti	Hoti
hto	minica huitoto	Minica Huitoto
hts	hadza	Hadza
htu	hitu	Hitu
htx	middle hittite	Middle Hittite
hub	huambisa	Huambisa
huc	hua	Hua
hud	huaulu	Huaulu
hue	san francisco del mar huave	San Francisco Del Mar Huave
huf	humene	Humene
hug	huachipaeri	Huachipaeri
huh	huilliche	Huilliche
hui	huli	Huli
huj	northern guiyang hmong	Northern Guiyang Hmong
huk	hulung	Hulung
hul	hula	Hula
hum	hungana	Hungana
hun	hongrois	Hongrois
huo	hu	Hu
hup	hupa	Hupa
huq	tsat	Tsat
hur	halkomelem	Halkomelem
hus	huastec	Huastec
hut	humla	Humla
huu	murui huitoto	Murui Huitoto
huv	san mateo del mar huave	San Mateo Del Mar Huave
huw	hukumina	Hukumina
hux	nüpode huitoto	Nüpode Huitoto
huy	hulaulá	Hulaulá
huz	hunzib	Hunzib
hvc	haitian vodoun culture language	Haitian Vodoun Culture Language
hve	san dionisio del mar huave	San Dionisio Del Mar Huave
hvk	haveke	Haveke
hvn	sabu	Sabu
hvv	santa maría del mar huave	Santa María Del Mar Huave
hwa	wané	Wané
hwc	hawai'i creole english	Hawai'I Creole English
hwo	hwana	Hwana
hya	hya	Hya
hye	arménien	Arménien
hyw	western armenian	Western Armenian
iai	iaai	Iaai
ian	iatmul	Iatmul
iar	purari	Purari
iba	iban	Iban
ibb	ibibio	Ibibio
ibd	iwaidja	Iwaidja
ibe	akpes	Akpes
ibg	ibanag	Ibanag
ibh	bih	Bih
ibl	ibaloi	Ibaloi
ibm	agoi	Agoi
ibn	ibino	Ibino
ibo	igbo	Igbo
ibr	ibuoro	Ibuoro
ibu	ibu	Ibu
iby	ibani	Ibani
ica	ede ica	Ede Ica
ich	etkywan	Etkywan
icl	icelandic sign language	Icelandic Sign Language
icr	islander creole english	Islander Creole English
ida	idakho-isukha-tiriki	Idakho-Isukha-Tiriki
idb	indo-portuguese	Indo-Portuguese
idc	idon	Idon
idd	ede idaca	Ede Idaca
ide	idere	Idere
idi	idi	Idi
ido	ido	Ido
idr	indri	Indri
ids	idesa	Idesa
idt	idaté	Idaté
idu	idoma	Idoma
ifa	amganad ifugao	Amganad Ifugao
ifb	batad ifugao	Batad Ifugao
ife	ifč	Ifč
iff	ifo	Ifo
ifk	tuwali ifugao	Tuwali Ifugao
ifm	teke-fuumu	Teke-Fuumu
ifu	mayoyao ifugao	Mayoyao Ifugao
ify	keley-i kallahan	Keley-I Kallahan
igb	ebira	Ebira
ige	igede	Igede
igg	igana	Igana
igl	igala	Igala
igm	kanggape	Kanggape
ign	ignaciano	Ignaciano
igo	isebe	Isebe
igs	interglossa	Interglossa
igw	igwe	Igwe
ihb	iha based pidgin	Iha Based Pidgin
ihi	ihievbe	Ihievbe
ihp	iha	Iha
ihw	bidhawal	Bidhawal
iii	yi de Sichuan	Yi De Sichuan
iin	thiin	Thiin
ijc	izon	Izon
ije	biseni	Biseni
ijj	ede ije	Ede Ije
ijn	kalabari	Kalabari
ijo	ijo, langues	Ijo, Langues
ijs	southeast ijo	Southeast Ijo
ike	eastern canadian inuktitut	Eastern Canadian Inuktitut
iki	iko	Iko
ikk	ika	Ika
ikl	ikulu	Ikulu
iko	olulumo-ikom	Olulumo-Ikom
ikp	ikpeshi	Ikpeshi
ikr	ikaranggal	Ikaranggal
iks	inuit sign language	Inuit Sign Language
ikt	inuinnaqtun	Inuinnaqtun
iku	inuktitut	Inuktitut
ikv	iku-gora-ankwa	Iku-Gora-Ankwa
ikw	ikwere	Ikwere
ikx	ik	Ik
ikz	ikizu	Ikizu
ila	ile ape	Ile Ape
ilb	ila	Ila
ile	interlingue	Interlingue
ilg	garig-ilgar	Garig-Ilgar
ili	ili turki	Ili Turki
ilk	ilongot	Ilongot
ilm	iranun (malaysia)	Iranun (Malaysia)
ilo	ilocano	Ilocano
ilp	iranun (philippines)	Iranun (Philippines)
ils	international sign	International Sign
ilu	ili'uun	Ili'Uun
ilv	ilue	Ilue
ima	mala malasar	Mala Malasar
imi	anamgura	Anamgura
iml	miluk	Miluk
imn	imonda	Imonda
imo	imbongu	Imbongu
imr	imroing	Imroing
ims	marsian	Marsian
imt	imotong	Imotong
imy	milyan	Milyan
ina	interlingua (langue auxiliaire internationale)	Interlingua (Langue Auxiliaire Internationale)
inb	inga	Inga
inc	indo-aryennes, langues	Indo-Aryennes, Langues
ind	indonésien	Indonésien
ine	indo-européennes, langues	Indo-Européennes, Langues
ing	degexit'an	Degexit'An
inh	ingouche	Ingouche
inj	jungle inga	Jungle Inga
inl	indonesian sign language	Indonesian Sign Language
inm	minaean	Minaean
inn	isinai	Isinai
ino	inoke-yate	Inoke-Yate
inp	ińapari	Ińapari
ins	indian sign language	Indian Sign Language
int	intha	Intha
inz	ineseńo	Ineseńo
ior	inor	Inor
iou	tuma-irumu	Tuma-Irumu
iow	iowa-oto	Iowa-Oto
ipi	ipili	Ipili
ipk	inupiaq	Inupiaq
ipo	ipiko	Ipiko
iqu	iquito	Iquito
iqw	ikwo	Ikwo
ira	iraniennes, langues	Iraniennes, Langues
ire	iresim	Iresim
irh	irarutu	Irarutu
iri	rigwe	Rigwe
irk	iraqw	Iraqw
irn	irántxe	Irántxe
iro	iroquoises, langues	Iroquoises, Langues
irr	ir	Ir
iru	irula	Irula
irx	kamberau	Kamberau
iry	iraya	Iraya
isa	isabi	Isabi
isc	isconahua	Isconahua
isd	isnag	Isnag
ise	italian sign language	Italian Sign Language
isg	irish sign language	Irish Sign Language
ish	esan	Esan
isi	nkem-nkum	Nkem-Nkum
isk	ishkashimi	Ishkashimi
isl	islandais	Islandais
ism	masimasi	Masimasi
isn	isanzu	Isanzu
iso	isoko	Isoko
isr	israeli sign language	Israeli Sign Language
ist	istriot	Istriot
isu	isu (menchum division)	Isu (Menchum Division)
ita	italien	Italien
itb	binongan itneg	Binongan Itneg
itd	southern tidung	Southern Tidung
ite	itene	Itene
iti	inlaod itneg	Inlaod Itneg
itk	judeo-italian	Judeo-Italian
itl	itelmen	Itelmen
itm	itu mbon uzo	Itu Mbon Uzo
ito	itonama	Itonama
itr	iteri	Iteri
its	isekiri	Isekiri
itt	maeng itneg	Maeng Itneg
itv	itawit	Itawit
itw	ito	Ito
itx	itik	Itik
ity	moyadan itneg	Moyadan Itneg
itz	itzá	Itzá
ium	iu mien	Iu Mien
ivb	ibatan	Ibatan
ivv	ivatan	Ivatan
iwk	i-wak	I-Wak
iwm	iwam	Iwam
iwo	iwur	Iwur
iws	sepik iwam	Sepik Iwam
ixc	ixcatec	Ixcatec
ixl	ixil	Ixil
iya	iyayu	Iyayu
iyo	mesaka	Mesaka
iyx	yaka (congo)	Yaka (Congo)
izh	ingrian	Ingrian
izr	izere	Izere
izz	izii	Izii
jaa	jamamadí	Jamamadí
jab	hyam	Hyam
jac	popti'	Popti'
jad	jahanka	Jahanka
jae	yabem	Yabem
jaf	jara	Jara
jah	jah hut	Jah Hut
jaj	zazao	Zazao
jak	jakun	Jakun
jal	yalahatan	Yalahatan
jam	jamaican creole english	Jamaican Creole English
jan	jandai	Jandai
jao	yanyuwa	Yanyuwa
jaq	yaqay	Yaqay
jas	new caledonian javanese	New Caledonian Javanese
jat	jakati	Jakati
jau	yaur	Yaur
jav	javanais	Javanais
jax	jambi malay	Jambi Malay
jay	yan-nhangu	Yan-Nhangu
jaz	jawe	Jawe
jbe	judeo-berber	Judeo-Berber
jbi	badjiri	Badjiri
jbj	arandai	Arandai
jbk	barikewa	Barikewa
jbm	bijim	Bijim
jbn	nafusi	Nafusi
jbo	lojban	Lojban
jbr	jofotek-bromnya	Jofotek-Bromnya
jbt	jabutí	Jabutí
jbu	jukun takum	Jukun Takum
jbw	yawijibaya	Yawijibaya
jcs	jamaican country sign language	Jamaican Country Sign Language
jct	krymchak	Krymchak
jda	jad	Jad
jdg	jadgali	Jadgali
jdt	judeo-tat	Judeo-Tat
jeb	jebero	Jebero
jee	jerung	Jerung
jeh	jeh	Jeh
jei	yei	Yei
jek	jeri kuo	Jeri Kuo
jel	yelmek	Yelmek
jen	dza	Dza
jer	jere	Jere
jet	manem	Manem
jeu	jonkor bourmataguil	Jonkor Bourmataguil
jgb	ngbee	Ngbee
jge	judeo-georgian	Judeo-Georgian
jgk	gwak	Gwak
jgo	ngomba	Ngomba
jhi	jehai	Jehai
jhs	jhankot sign language	Jhankot Sign Language
jia	jina	Jina
jib	jibu	Jibu
jic	tol	Tol
jid	bu (kaduna state)	Bu (Kaduna State)
jie	jilbe	Jilbe
jig	jingulu	Jingulu
jih	stodsde	Stodsde
jii	jiiddu	Jiiddu
jil	jilim	Jilim
jim	jimi (cameroon)	Jimi (Cameroon)
jio	jiamao	Jiamao
jiq	guanyinqiao	Guanyinqiao
jit	jita	Jita
jiu	youle jinuo	Youle Jinuo
jiv	shuar	Shuar
jiy	buyuan jinuo	Buyuan Jinuo
jje	jejueo	Jejueo
jjr	bankal	Bankal
jka	kaera	Kaera
jkm	mobwa karen	Mobwa Karen
jko	kubo	Kubo
jkp	paku karen	Paku Karen
jkr	koro (india)	Koro (India)
